Name,Children,Parents,Role,Flow Behavior,Content Category,Notes,Batch,Ready
Toggle,"Label,Icon,Badge,Loader","Accordion / Container,Accordion / Header,Table / TD Checkbox,Table / TH Checkbox,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Element,,1,checked
Tooltip,"Icon,Indicator,Badge,Button Inner,Loader",,Content,"Absolute,Hug",Element,,2,
Accordion / Header,"Badge,Button Inner,Icon,Indicator,Tag,Toggle,Avatar,Loader",Accordion,Trigger,Fill,Object,,1,checked
Accordion / Container,"Icon,Alert,Asset,Avatar,Badge,Breadcrumbs,Button Basic,Button Dropdown,Card,Button Icon,Button Group,Charts,Checkbox,Edit Mode / View,Data Info,Chips,Code Snippet,Event,Feature List,Flex Layout,Image,Indicator,Label,Video Player,Uploader,Tree,Input Text,Link,List,Logo,Metric,Multiselect,Pagination,Person,Audio Player,Progress,Queryfield,Radio,Scrollbar,Select,Select Cascade,Skeleton Loader,Slider,Steps,Switcher,Table,Tabs Horizontal,Tag,Text Area,Toggle,Edit Mode / Edit,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Code Editor,Loader,Tabs Vertical",Accordion,Container,Fill,Object,,1,checked
Asset,"Avatar,Badge,Checkbox,Icon,Image,Indicator,Radio,Tag,Button Inner,Loader","Accordion / Container,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Output,Fill,Object,,2,
Avatar,"Icon,Indicator,Badge,Button Inner,Loader","Accordion / Container,Accordion / Header,Asset,Button Basic,Button Dropdown,Button Group,Button Icon,Code Editor / Text Area,Edit Mode / View,Edit Mode / Edit,Input Text,Input Date,Input Search,Input Number,Input Color,Input Datetime,Input Email,Input Password,Input Time,Input Telephone,Input URL,Multiselect,Select,Select Cascade,Text Area,Table / TD Text,Table / TD Link,Table / TD Boolean,Table / TD Tags,Table / TD Person,Table / TD Image,Table / TH Text,Tabs / Tab Item,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Content,Fixed,Object,,2,checked
Button Basic,"Badge,Avatar,Icon,Indicator,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Object,,1,checked
Button Dropdown,"Badge,Avatar,Icon,Indicator,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Object,,4,
Button Group,"Badge,Avatar,Icon,Indicator,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Object,,4,
Button Icon,"Badge,Avatar,Icon,Indicator,Tag,Loader","Accordion / Container,Alert,Toast,Bottom Sheet,Flex Layout,Header,Hero,Modal,Side Panel,Side Panel Menu",Trigger,Hug,Object,,1,checked
